M,seed,0.001,0.01,0.1
16.0,859.0,134217728.0,1048576.0,65536.0
16.0,7733.0,536870912.0,1048576.0,32768.0
16.0,891.0,536870912.0,4194304.0,16384.0
16.0,6541.0,134217728.0,2097152.0,32768.0
16.0,4386.0,134217728.0,1048576.0,32768.0
16.0,4327.0,268435456.0,4194304.0,32768.0
16.0,6972.0,268435456.0,4194304.0,16384.0
16.0,941.0,268435456.0,2097152.0,16384.0
16.0,2014.0,134217728.0,1048576.0,16384.0
16.0,8582.0,268435456.0,8388608.0,32768.0
32.0,859.0,1073741824.0,8388608.0,131072.0
32.0,7733.0,1073741824.0,8388608.0,32768.0
32.0,891.0,2147483648.0,16777216.0,65536.0
32.0,6541.0,1073741824.0,4194304.0,131072.0
32.0,4386.0,536870912.0,8388608.0,65536.0
32.0,4327.0,2147483648.0,16777216.0,131072.0
32.0,6972.0,536870912.0,16777216.0,131072.0
32.0,941.0,2147483648.0,8388608.0,32768.0
32.0,2014.0,536870912.0,4194304.0,32768.0
32.0,8582.0,1073741824.0,8388608.0,65536.0
64.0,859.0,2147483648.0,33554432.0,524288.0
64.0,7733.0,2147483648.0,67108864.0,262144.0
64.0,891.0,8589934592.0,33554432.0,262144.0
64.0,6541.0,4294967296.0,33554432.0,262144.0
64.0,4386.0,4294967296.0,67108864.0,1048576.0
64.0,4327.0,8589934592.0,33554432.0,262144.0
64.0,6972.0,4294967296.0,16777216.0,1048576.0
64.0,941.0,4294967296.0,16777216.0,262144.0
64.0,2014.0,4294967296.0,33554432.0,131072.0
64.0,8582.0,1073741824.0,67108864.0,262144.0
128.0,859.0,17179869184.0,134217728.0,2097152.0
128.0,7733.0,8589934592.0,134217728.0,524288.0
128.0,891.0,17179869184.0,67108864.0,1048576.0
128.0,6541.0,8589934592.0,134217728.0,1048576.0
128.0,4386.0,4294967296.0,134217728.0,524288.0
128.0,4327.0,8589934592.0,67108864.0,1048576.0
128.0,6972.0,4294967296.0,67108864.0,1048576.0
128.0,941.0,17179869184.0,67108864.0,1048576.0
128.0,2014.0,8589934592.0,67108864.0,524288.0
128.0,8582.0,8589934592.0,134217728.0,1048576.0
256.0,859.0,34359738368.0,268435456.0,2097152.0
256.0,7733.0,17179869184.0,134217728.0,2097152.0
256.0,891.0,17179869184.0,134217728.0,4194304.0
256.0,6541.0,17179869184.0,268435456.0,2097152.0
256.0,4386.0,17179869184.0,268435456.0,2097152.0
256.0,4327.0,17179869184.0,134217728.0,4194304.0
256.0,6972.0,17179869184.0,268435456.0,1048576.0
256.0,941.0,17179869184.0,134217728.0,2097152.0
256.0,2014.0,34359738368.0,268435456.0,2097152.0
256.0,8582.0,17179869184.0,134217728.0,2097152.0
512.0,859.0,68719476736.0,536870912.0,4194304.0
512.0,7733.0,68719476736.0,536870912.0,4194304.0
512.0,891.0,137438953472.0,268435456.0,4194304.0
512.0,6541.0,68719476736.0,536870912.0,4194304.0
512.0,4386.0,68719476736.0,536870912.0,8388608.0
512.0,4327.0,34359738368.0,536870912.0,4194304.0
512.0,6972.0,68719476736.0,536870912.0,4194304.0
512.0,941.0,68719476736.0,536870912.0,4194304.0
512.0,2014.0,68719476736.0,536870912.0,4194304.0
512.0,8582.0,34359738368.0,536870912.0,4194304.0
1024.0,859.0,137438953472.0,1073741824.0,8388608.0
1024.0,7733.0,68719476736.0,1073741824.0,8388608.0
1024.0,891.0,137438953472.0,1073741824.0,8388608.0
1024.0,6541.0,137438953472.0,1073741824.0,8388608.0
1024.0,4386.0,68719476736.0,1073741824.0,16777216.0
1024.0,4327.0,68719476736.0,1073741824.0,8388608.0
1024.0,6972.0,68719476736.0,1073741824.0,8388608.0
1024.0,941.0,137438953472.0,1073741824.0,8388608.0
1024.0,2014.0,68719476736.0,1073741824.0,8388608.0
1024.0,8582.0,137438953472.0,1073741824.0,8388608.0
