seed,M,C,epsilon,shots
34753.0,8.0,10.0,0.05,1909.0
932.0,8.0,10.0,0.05,921.0
61325.0,8.0,10.0,0.05,-1.0
85987.0,8.0,10.0,0.05,-1.0
53492.0,8.0,10.0,0.05,-1.0
50778.0,8.0,10.0,0.05,533.0
48598.0,8.0,10.0,0.05,309.0
61723.0,8.0,10.0,0.05,1211.0
97134.0,8.0,10.0,0.05,921.0
54509.0,8.0,10.0,0.05,4331.0
34753.0,16.0,10.0,0.05,-1.0
932.0,16.0,10.0,0.05,6828.0
61325.0,16.0,10.0,0.05,-1.0
85987.0,16.0,10.0,0.05,-1.0
53492.0,16.0,10.0,0.05,-1.0
34753.0,4.0,10.0,0.08,65.0
932.0,4.0,10.0,0.08,2.0
61325.0,4.0,10.0,0.08,136.0
85987.0,4.0,10.0,0.08,2.0
53492.0,4.0,10.0,0.08,7.0
50778.0,4.0,10.0,0.08,2.0
48598.0,4.0,10.0,0.08,2.0
61723.0,4.0,10.0,0.08,12.0
97134.0,4.0,10.0,0.08,7.0
54509.0,4.0,10.0,0.08,4.0
34753.0,8.0,10.0,0.08,1909.0
932.0,8.0,10.0,0.08,841.0
61325.0,8.0,10.0,0.08,8192.0
85987.0,8.0,10.0,0.08,163.0
53492.0,8.0,10.0,0.08,2290.0
50778.0,8.0,10.0,0.08,487.0
48598.0,8.0,10.0,0.08,282.0
61723.0,8.0,10.0,0.08,445.0
97134.0,8.0,10.0,0.08,487.0
54509.0,8.0,10.0,0.08,533.0
34753.0,16.0,10.0,0.08,-1.0
932.0,16.0,10.0,0.08,921.0
34753.0,32.0,10.0,0.3,640.0
932.0,32.0,10.0,0.3,1326.0
61325.0,32.0,10.0,0.3,3010.0
85987.0,32.0,10.0,0.3,3296.0
53492.0,32.0,10.0,0.3,2748.0
50778.0,32.0,10.0,0.3,2509.0
48598.0,32.0,10.0,0.3,-1.0
61723.0,32.0,10.0,0.3,584.0
97134.0,32.0,10.0,0.3,3610.0
54509.0,32.0,10.0,0.3,-1.0
34753.0,32.0,10.0,0.2,3955.0
932.0,32.0,10.0,0.2,4744.0
61325.0,32.0,10.0,0.2,-1.0
85987.0,32.0,10.0,0.2,5196.0
53492.0,32.0,10.0,0.2,4744.0
50778.0,32.0,10.0,0.2,3296.0
48598.0,32.0,10.0,0.2,-1.0
61723.0,32.0,10.0,0.2,3610.0
97134.0,32.0,10.0,0.2,6234.0
54509.0,32.0,10.0,0.2,-1.0
34753.0,32.0,10.0,0.1,-1.0
932.0,32.0,10.0,0.1,-1.0
61325.0,32.0,10.0,0.1,-1.0
85987.0,32.0,10.0,0.1,-1.0
53492.0,32.0,10.0,0.1,-1.0
50778.0,32.0,10.0,0.1,-1.0
48598.0,32.0,10.0,0.1,-1.0
61723.0,32.0,10.0,0.1,-1.0
97134.0,32.0,10.0,0.1,-1.0
54509.0,32.0,10.0,0.1,-1.0
61325.0,16.0,10.0,0.08,-1.0
85987.0,16.0,10.0,0.08,-1.0
53492.0,16.0,10.0,0.08,-1.0
50778.0,16.0,10.0,0.08,5692.0
48598.0,16.0,10.0,0.08,-1.0
61723.0,16.0,10.0,0.08,-1.0
97134.0,16.0,10.0,0.08,-1.0
54509.0,16.0,10.0,0.08,-1.0
34753.0,24.0,10.0,0.08,-1.0
932.0,24.0,10.0,0.08,-1.0
61325.0,24.0,10.0,0.08,-1.0
85987.0,24.0,10.0,0.08,-1.0
53492.0,24.0,10.0,0.08,-1.0
50778.0,24.0,10.0,0.08,-1.0
48598.0,24.0,10.0,0.08,-1.0
61723.0,24.0,10.0,0.08,-1.0
97134.0,24.0,10.0,0.08,7479.0
54509.0,24.0,10.0,0.08,-1.0
34753.0,32.0,10.0,0.08,-1.0
932.0,32.0,10.0,0.08,-1.0
61325.0,32.0,10.0,0.08,-1.0
85987.0,32.0,10.0,0.08,-1.0
53492.0,32.0,10.0,0.08,-1.0
50778.0,32.0,10.0,0.08,-1.0
48598.0,32.0,10.0,0.08,-1.0
61723.0,32.0,10.0,0.08,-1.0
97134.0,32.0,10.0,0.08,-1.0
54509.0,32.0,10.0,0.08,-1.0
34753.0,4.0,10.0,0.15,18.0
932.0,4.0,10.0,0.15,2.0
61325.0,4.0,10.0,0.15,136.0
85987.0,4.0,10.0,0.15,2.0
53492.0,4.0,10.0,0.15,7.0
50778.0,4.0,10.0,0.15,2.0
48598.0,4.0,10.0,0.15,2.0
61723.0,4.0,10.0,0.15,12.0
97134.0,4.0,10.0,0.15,6.0
54509.0,4.0,10.0,0.15,4.0
34753.0,8.0,10.0,0.15,282.0
932.0,8.0,10.0,0.15,406.0
61325.0,8.0,10.0,0.15,768.0
85987.0,8.0,10.0,0.15,136.0
53492.0,8.0,10.0,0.15,841.0
