seed,R,C,M,epsilon,epsilon_euclid1,epsilon_euclid2
91502404.0,4.0,10.0,4.0,0.0002231545931664,0.0001126710245023,6.855313186774306e-05
91502404.0,8.0,10.0,4.0,0.0007496228543907,0.0004307450766781,0.0002582633506429
91502404.0,16.0,10.0,4.0,0.0008827047350126,0.0004413528953699,0.0002658706634966
91502404.0,32.0,10.0,4.0,0.0004905063821694,0.0002812712246373,0.0001590250582964
91502404.0,64.0,10.0,4.0,0.000358896207127,0.000179448631427,0.0001045422180703
91502404.0,128.0,10.0,4.0,0.0006873579055026,0.000397156338041,0.000237456111592
91502404.0,256.0,10.0,4.0,0.0005637284781665,0.0003151520243267,0.000181155658084
91502404.0,512.0,10.0,4.0,0.0007153352068265,0.0003576670755496,0.0002132374525434
91502404.0,1024.0,10.0,4.0,0.0007787670697447,0.0005520512938657,0.0002919306823254
91502404.0,2048.0,10.0,4.0,0.0007182246989383,0.0003591128773328,0.0002300402552483
91502404.0,4096.0,10.0,4.0,0.0008795764575046,0.000484947458274,0.0002998057379534
91502404.0,8192.0,10.0,4.0,0.0008414546873518,0.0004207278715395,0.0002504682915744
91502404.0,16384.0,10.0,4.0,0.0006804837107055,0.0003402413274891,0.0002040709134618
91502404.0,32768.0,10.0,4.0,0.0008940866630277,0.0004994576637969,0.0003049080663027
91502404.0,65536.0,10.0,4.0,0.0008727492673373,0.0004781202681067,0.0002969315479399
91502404.0,131072.0,10.0,4.0,0.0008616103234748,0.0004669813242442,0.0002919648221091
91502404.0,262144.0,10.0,4.0,0.0008598927202687,0.000465263721038,0.000291035121189
91502404.0,524288.0,10.0,4.0,0.0008556512336318,0.0004610222344011,0.0002898433579499
91502404.0,4.0,1000.0,4.0,0.0002231545931664,0.0001126710245023,6.855313186774306e-05
91502404.0,8.0,1000.0,4.0,0.0007496228543907,0.0004307450766781,0.0002582633506429
91502404.0,16.0,1000.0,4.0,0.0008827047350126,0.0004413528953699,0.0002658706634966
91502404.0,32.0,1000.0,4.0,0.0004905063821694,0.0002812712246373,0.0001590250582964
91502404.0,64.0,1000.0,4.0,0.000358896207127,0.000179448631427,0.0001045422180703
